IF,Sesion,Grupo,PPR,Sujeto
60,1,B,38.04918019,601
60,1,B,23.67540981,603
60,1,B,20.05737704,605
60,1,B,22.27540987,607
60,1,B,31.90491795,609
60,1,B,21.71147525,611
60,1,B,28.42622957,613
60,1,B,17.68688524,615
60,2,B,37.02950817,601
60,2,B,18.9295083,603
60,2,B,21.62295085,605
60,2,B,22.29180341,607
60,2,B,38.652459,609
60,2,B,23.94590166,611
60,2,B,28.44426219,613
60,2,B,42.5819674,615
60,3,B,38.66557383,601
60,3,B,19.54754095,603
60,3,B,22.35573755,605
60,3,B,21.56393432,607
60,3,B,33.84426206,609
60,3,B,25.56721307,611
60,3,B,26.54754098,613
60,3,B,27.63278674,615
60,4,B,35.25081963,601
60,4,B,22.0163934,603
60,4,B,22.73442625,605
60,4,B,26.04426233,607
60,4,B,33.99508207,609
60,4,B,21.89344264,611
60,4,B,28.46885242,613
60,4,B,33.27868861,615
60,5,B,38.80327875,601
60,5,B,20.13114743,603
60,5,B,24.01803284,605
60,5,B,29.5114753,607
60,5,B,28.87213123,609
60,5,B,23.3131147,611
60,5,B,29.50491822,613
60,5,B,32.3393443,615
60,1,A,24.64918022,602
60,1,A,28.87049159,604
60,1,A,26.20983617,606
60,1,A,32.24098365,608
60,1,A,29.7622951,610
60,1,A,38.07868853,612
60,1,A,13.23442627,614
60,1,A,24.43934429,616
60,2,A,22.54590164,602
60,2,A,30.70327886,604
60,2,A,30.39508216,606
60,2,A,31.18196727,608
60,2,A,31.56721295,610
60,2,A,38.57213113,612
60,2,A,15.86721298,614
60,2,A,29.21967208,616
60,3,A,24.68524601,602
60,3,A,33.5327869,604
60,3,A,31.39999994,606
60,3,A,37.36557395,608
60,3,A,27.14098366,610
60,3,A,39.30655738,612
60,3,A,16.07540987,614
60,3,A,27.20491802,616
60,4,A,22.06393454,602
60,4,A,32.48688543,604
60,4,A,31.99180344,606
60,4,A,33.50983595,608
60,4,A,26.49672121,610
60,4,A,41.73442611,612
60,4,A,18.86557375,614
60,4,A,30.49344277,616
60,5,A,20.79344258,602
60,5,A,28.10327846,604
60,5,A,36.97377054,606
60,5,A,36.2622953,608
60,5,A,23.45409841,610
60,5,A,41.01311484,612
60,5,A,20.18852461,614
60,5,A,30.31967226,616
30,1,B,19.10819663,301
30,1,B,6.344262266,303
30,1,B,16.46721304,305
30,1,B,17.09836064,307
30,1,B,10.71967212,309
30,1,B,14.25737701,311
30,2,B,19.82786885,301
30,2,B,6.985245904,303
30,2,B,14.58524592,305
30,2,B,18.4819671,307
30,2,B,11.03114758,309
30,2,B,12.37704915,311
30,3,B,22.19344281,301
30,3,B,5.731147531,303
30,3,B,14.53114748,305
30,3,B,19.38852459,307
30,3,B,12.1196721,309
30,3,B,13.58688529,311
30,4,B,23.38196728,301
30,4,B,8.347540953,303
30,4,B,14.04098353,305
30,4,B,17.2131147,307
30,4,B,12.30983608,309
30,4,B,14.59672125,311
30,5,B,23.18688507,301
30,5,B,6.945901621,303
30,5,B,14.32295073,305
30,5,B,18.59508198,307
30,5,B,11.76065575,309
30,5,B,15.36557379,311
30,1,A,17.31803285,302
30,1,A,19.72131153,304
30,1,A,16.47868849,306
30,1,A,18.53770491,308
30,1,A,17.15409845,310
30,1,A,15.37377055,312
30,2,A,16.93278695,302
30,2,A,17.70983607,304
30,2,A,20.09016387,306
30,2,A,17.71967216,308
30,2,A,15.57377047,310
30,2,A,13.31475412,312
30,3,A,17.2032787,302
30,3,A,19.44754091,304
30,3,A,20.13114743,306
30,3,A,17.29672124,308
30,3,A,17.23606562,310
30,3,A,14.38196715,312
30,4,A,17.94918027,302
30,4,A,18.55081972,304
30,4,A,20.97213105,306
30,4,A,16.91967212,308
30,4,A,14.98852471,310
30,4,A,12.88032786,312
30,5,A,19.5196721,302
30,5,A,20.45409825,304
30,5,A,19.73770488,306
30,5,A,16.39672128,308
30,5,A,16.17049183,310
30,5,A,12.88196724,312
15,1,B,7.272131142,151
15,1,B,5.439344262,153
15,1,B,5.465573747,155
15,1,B,5.490163913,157
15,1,B,10.39672132,159
15,1,B,9.886885266,161
15,1,B,8.30983604,163
15,1,B,5.370491819,165
15,2,B,7.680327886,151
15,2,B,5.793442581,153
15,2,B,6.700000005,155
15,2,B,5.062295077,157
15,2,B,11.09999998,159
15,2,B,9.685245913,161
15,2,B,7.860655775,163
15,2,B,5.713114768,165
15,3,B,6.606557451,151
15,3,B,6.016393418,153
15,3,B,5.73114756,155
15,3,B,5.809836098,157
15,3,B,10.67540986,159
15,3,B,10.15901643,161
15,3,B,7.718032794,163
15,3,B,6.296721331,165
15,4,B,7.577049201,151
15,4,B,6.56065575,153
15,4,B,6.16885246,155
15,4,B,5.465573751,157
15,4,B,10.68852459,159
15,4,B,9.926229507,161
15,4,B,9.126229552,163
15,4,B,6.811475367,165
15,5,B,6.434426249,151
15,5,B,8.011475442,153
15,5,B,6.386885227,155
15,5,B,8.977049101,157
15,5,B,10.34918027,159
15,5,B,10.02295081,161
15,5,B,7.631147518,163
15,5,B,5.627868832,165
15,1,A,12.14918034,152
15,1,A,11.25573775,154
15,1,A,7.995081925,156
15,1,A,14.76557382,158
15,1,A,8.696721319,160
15,1,A,11.57049176,162
15,1,A,8.021311517,164
15,1,A,8.934426235,166
15,2,A,11.52950822,152
15,2,A,13.05409834,154
15,2,A,10.64426232,156
15,2,A,11.76229504,158
15,2,A,9.032786905,160
15,2,A,12.1065574,162
15,2,A,6.493442616,164
15,2,A,8.986885282,166
15,3,A,12.7081967,152
15,3,A,13.19016392,154
15,3,A,9.070491814,156
15,3,A,15.18196717,158
15,3,A,9.670491844,160
15,3,A,12.7245902,162
15,3,A,7.752458982,164
15,3,A,8.96065576,166
15,4,A,12.19672134,152
15,4,A,12.18360663,154
15,4,A,8.604918023,156
15,4,A,15.40819676,158
15,4,A,10.26557382,160
15,4,A,12.82950826,162
15,4,A,7.145901637,164
15,4,A,9.529508223,166
15,5,A,9.177049127,152
15,5,A,15.68688525,154
15,5,A,7.922950823,156
15,5,A,14.11639341,158
15,5,A,10.93114755,160
15,5,A,12.32950824,162
15,5,A,9.463934437,164
15,5,A,8.436065604,166