Group,Subjects,Phase,Licks15,Sesion
A,1,1,24.31007752,1
A,2,1,59.5205977,1
A,3,1,133.1676772,1
A,4,1,109.579902,1
B,5,1,91.92649184,1
B,6,1,135.2668929,1
B,7,1,35.6994357,1
B,8,1,106.6958698,1
A,1,1,16.71499586,2
A,2,1,26.5383434,2
A,3,1,149.6086695,2
A,4,1,109.4678218,2
B,5,1,92.90873944,2
B,6,1,138.9330306,2
B,7,1,22.89377289,2
B,8,1,88.58447489,2
A,1,1,32.03078745,3
A,2,1,62.99343818,3
A,3,1,116.2370611,3
A,4,1,89.21374126,3
B,5,1,90.52399117,3
B,6,1,118.2843335,3
B,7,1,30.31412016,3
B,8,1,90.02695418,3
A,1,2,0,4
A,2,2,2.517306482,4
A,3,2,0.126635711,4
A,4,2,70.98521141,4
B,5,2,92.21717589,4
B,6,2,150.4505438,4
B,7,2,75.90140558,4
B,8,2,112.7842345,4
A,1,2,0,5
A,2,2,76.99501247,5
A,3,2,77.63183689,5
A,4,2,47.76057363,5
B,5,2,84.74188177,5
B,6,2,126.5314085,5
B,7,2,38.9228151,5
B,8,2,79.72238986,5
A,1,2,0,6
A,2,2,93.83468123,6
A,3,2,90.65779902,6
A,4,2,57.92417651,6
B,5,2,96.81832314,6
B,6,2,142.6401519,6
B,7,2,36.71254898,6
B,8,2,80.93080725,6